스케일러,구분,LightGBM_Val_RMSE_KRW,LightGBM_Val_MAE_KRW,LightGBM_Val_R2,KNN_Val_RMSE_KRW,KNN_Val_R2,비고
Raw (No Scaling),필수 비교 (기본),289370.7,138502.9,0.3451,353514.4,0.0226,트리 단조 불변성 유지
StandardScaler,필수 비교 (기본),289168.1,138466.0,0.346,308178.4,0.2572,"트리는 분산 제어 영향 미세, KNN은 거리 왜곡 완화로 대폭 개선"
MinMaxScaler,필수 비교 (기본),289370.7,138502.9,0.3451,344758.9,0.0704,트리 단조 불변성 유지
RobustScaler,필수 비교 (기본),289370.7,138502.9,0.3451,323628.2,0.1809,트리 단조 불변성 유지
QuantileTransformer (Normal),확장 강건 기법,289370.7,138502.9,0.3451,330259.4,0.1469,트리 단조 불변성 유지
PowerTransformer (Yeo-Johnson),확장 강건 기법,289370.7,138502.9,0.3451,317070.2,0.2137,트리 단조 불변성 유지
Adaptive Winsorized Scaler,확장 강건 기법,289168.1,138466.0,0.346,326409.8,0.1667,트리 단조 불변성 유지
