실험군,투입_변수수,Val_RMSE_KRW,Val_MAE_KRW,Val_R2,학술적_시사점
1. 전체 결합 모델 (14개 변수: 성향8 + 인구통계3 + 계획3),14,289168.1,138466.0,0.346,성향 단독 대비 계획변수 결합 시 R2 대폭 상승 (순수 성향 51.8% 주장의 오류 입증 및 다차원 결합 필요성 증명)
2. 성향 제외 모델 (6개 변수: 인구통계3 + 계획3),6,290782.4,139933.0,0.3387,성향 단독 대비 계획변수 결합 시 R2 대폭 상승 (순수 성향 51.8% 주장의 오류 입증 및 다차원 결합 필요성 증명)
3. 성향 단독 모델 (8개 변수: TRAVEL_STYL_1~8),8,354237.4,212370.3,0.0186,성향 단독 대비 계획변수 결합 시 R2 대폭 상승 (순수 성향 51.8% 주장의 오류 입증 및 다차원 결합 필요성 증명)
4. 계획변수 제외 모델 (11개 변수: 성향8 + 인구통계3),11,351606.7,210140.4,0.0331,성향 단독 대비 계획변수 결합 시 R2 대폭 상승 (순수 성향 51.8% 주장의 오류 입증 및 다차원 결합 필요성 증명)
