rank,combo_id,n_estimators,max_depth,learning_rate,num_leaves,theoretical_max_leaves,Val_RMSE_KRW,Val_MAE_KRW,Val_R2,Train_R2,Overfit_Gap_R2,redundancy_status
43,44,100,3,0.1,31,8,293749.6,140544.3,0.3251,0.6364,0.3113,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
44,45,100,3,0.1,63,8,293749.6,140544.3,0.3251,0.6364,0.3113,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
45,30,50,-1,0.03,63,63,293862.9,143301.1,0.3246,0.5926,0.268,깊이 제한 없음 (leaves 제약 유효)
46,50,100,5,0.05,31,31,293912.9,141296.6,0.3244,0.6474,0.323,유효 설정
47,51,100,5,0.05,63,32,293912.9,141296.6,0.3244,0.6474,0.323,깊이 5 제한으로 최대 리프 2^5=32개 자동 상한
48,49,100,5,0.05,15,15,293946.2,141052.4,0.3242,0.6445,0.3203,유효 설정
49,24,50,8,0.05,63,63,293969.4,141170.6,0.3241,0.6325,0.3083,유효 설정
50,20,50,8,0.03,31,31,293984.1,143982.7,0.3241,0.5691,0.2451,유효 설정
51,21,50,8,0.03,63,63,294002.3,143566.2,0.324,0.5702,0.2463,유효 설정
52,23,50,8,0.05,31,31,294096.2,141584.3,0.3235,0.6304,0.3069,유효 설정
53,65,100,-1,0.03,31,31,294342.2,142254.0,0.3224,0.6674,0.345,깊이 제한 없음 (leaves 제약 유효)
54,33,50,-1,0.05,63,63,294461.8,141428.0,0.3219,0.6647,0.3429,깊이 제한 없음 (leaves 제약 유효)
55,82,200,5,0.03,15,15,294854.7,141462.0,0.32,0.6613,0.3413,유효 설정
56,57,100,8,0.03,63,63,294900.6,141410.6,0.3198,0.6479,0.3281,유효 설정
57,83,200,5,0.03,31,31,294932.9,141542.3,0.3197,0.6644,0.3447,유효 설정
58,84,200,5,0.03,63,32,294932.9,141542.3,0.3197,0.6644,0.3447,깊이 5 제한으로 최대 리프 2^5=32개 자동 상한
59,56,100,8,0.03,31,31,295046.5,141800.8,0.3192,0.647,0.3279,유효 설정
60,79,200,3,0.1,15,8,295315.6,140594.1,0.3179,0.6791,0.3612,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
61,80,200,3,0.1,31,8,295315.6,140594.1,0.3179,0.6791,0.3612,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
62,81,200,3,0.1,63,8,295315.6,140594.1,0.3179,0.6791,0.3612,깊이 3 제한으로 최대 리프 2^3=8개 자동 상한
63,58,100,8,0.05,15,15,295547.3,141986.8,0.3168,0.6753,0.3585,유효 설정
64,67,100,-1,0.05,15,15,295695.7,143087.8,0.3162,0.6789,0.3628,깊이 제한 없음 (leaves 제약 유효)
65,66,100,-1,0.03,63,63,295861.8,142250.4,0.3154,0.6879,0.3725,깊이 제한 없음 (leaves 제약 유효)
66,34,50,-1,0.1,15,15,296065.5,142520.7,0.3144,0.681,0.3666,깊이 제한 없음 (leaves 제약 유효)
67,91,200,8,0.03,15,15,296651.6,141940.1,0.3117,0.6909,0.3792,유효 설정
68,25,50,8,0.1,15,15,296752.8,143288.4,0.3113,0.6753,0.364,유효 설정
69,53,100,5,0.1,31,31,296871.7,143395.1,0.3107,0.7208,0.4101,유효 설정
70,54,100,5,0.1,63,32,296871.7,143395.1,0.3107,0.7208,0.4101,깊이 5 제한으로 최대 리프 2^5=32개 자동 상한
71,85,200,5,0.05,15,15,297056.2,142796.8,0.3099,0.708,0.3981,유효 설정
72,100,200,-1,0.03,15,15,297170.5,143374.9,0.3093,0.6962,0.3868,깊이 제한 없음 (leaves 제약 유효)
73,52,100,5,0.1,15,15,297303.9,143432.3,0.3087,0.7081,0.3994,유효 설정
74,35,50,-1,0.1,31,31,297576.5,144322.8,0.3074,0.7304,0.423,깊이 제한 없음 (leaves 제약 유효)
75,68,100,-1,0.05,31,31,298005.9,144466.1,0.3054,0.7306,0.4251,깊이 제한 없음 (leaves 제약 유효)
76,60,100,8,0.05,63,63,298046.5,143242.4,0.3052,0.702,0.3968,유효 설정
77,59,100,8,0.05,31,31,298332.3,143679.2,0.3039,0.699,0.3951,유효 설정
78,86,200,5,0.05,31,31,298548.2,144706.0,0.3029,0.7171,0.4142,유효 설정
79,87,200,5,0.05,63,32,298548.2,144706.0,0.3029,0.7171,0.4142,깊이 5 제한으로 최대 리프 2^5=32개 자동 상한
80,103,200,-1,0.05,15,15,298687.9,144586.2,0.3022,0.7433,0.4411,깊이 제한 없음 (leaves 제약 유효)
