전략명,학습세트_표본수,평가세트명,평가세트_표본수,테스트세트_선정방식,RMSE_KRW,MAE_KRW,R2,특징
전략 A (RandomForest 고정 기준선),1728,내부 비교세트 H (Val),576,무작위 셔플(시드 42) 기반 20% 비복원 임의추출 (576건 격리보존),316567.9,151358.3,0.2162,별도 튜닝 없는 고정 기본 파라미터 적용 (개발세트 과적합: R2 0.92)
전략 A (LightGBM 고정 기준선),1728,내부 비교세트 H (Val),576,무작위 셔플(시드 42) 기반 20% 비복원 임의추출 (576건 격리보존),304073.1,150026.9,0.2769,"기본 파라미터 적용 (학습 R2 0.81 vs 검증 R2 0.28, 격차 0.53)"
전략 B (검증세트 튜닝 LightGBM),1728,내부 비교세트 H (Val),576,무작위 셔플(시드 42) 기반 20% 비복원 임의추출 (576건 격리보존),289168.1,138466.0,0.346,"검증 RMSE 기준으로 깊이·학습률 제어 (검증 R2 0.35, 과적합 격차 0.21로 대폭 축소)"
